intra_threads,inter_threads,batch_size,data_load_time_sec,model_init_time_sec,train_time_total_sec,forward_time_sec,backward_time_sec,optimizer_time_sec,eval_time_sec,test_accuracy
1,1,128,2.0181070899998304,0.0041899409998222,1795.388609744,678.8765097830183,1073.232432246005,1.6743445410197637,23.15922089600008,0.6002
1,2,128,1.974575059000017,0.0041346409998368,1793.1416788349998,672.9579427059889,1076.6510068729958,1.6718021519864124,23.301908502000515,0.6002
1,3,128,1.9745108309998611,0.004029910999634,1795.007475925,684.2900047679504,1067.6029878309728,1.6875413159787058,22.07586753599935,0.6002
1,4,128,2.1061452069989173,0.0040959040015877,1804.4491784950003,686.7008584400501,1074.4224509659834,1.6682662869952765,22.87690545400073,0.6002
2,1,128,2.010288777000824,0.0065859570004249,1753.294128824,635.428070133954,1064.5838412850044,2.176290219993461,23.06849331400008,0.6002
2,2,128,2.14129054499972,0.0058335079993412,1774.834551582,642.7703896879666,1078.8868575309243,2.165056490963252,21.362005412000144,0.6002
2,3,128,1.9952308829997487,0.0048924389993771,1751.6357097060009,630.4153410089239,1068.3278358279676,2.179797384997073,23.878219059999537,0.6002
2,4,128,2.090024105998964,0.00568161999945,1733.9553658669993,623.012667273033,1058.5246684220583,2.1350284079981066,23.073623643002065,0.6002
3,1,128,1.968059560000256,0.0058163190005871,1735.6051073339986,612.945216701024,1079.099185890991,1.823599185943749,22.25422360800076,0.6496
3,2,128,2.0554820420002216,0.0061322030014707,1769.2758359020008,623.0581335521238,1102.0925670920003,1.8412484990731173,22.546067922001384,0.6496
3,3,128,2.0452652950007177,0.0045816789970558,1760.452004529001,618.7879618640036,1098.1751418081512,1.8013866910187062,21.0190689939991,0.6496
3,4,128,2.221933179000189,0.0045484020010917,1775.9548893319989,631.8400215489419,1099.9427066160642,1.8170497380488089,21.114955108001595,0.6496
4,1,128,2.093269002998568,0.005374631997256,1712.8888458990004,612.371880481056,1056.7340705479874,1.7940127449946883,21.13646073799828,0.6002
4,2,128,2.182719617001567,0.0049831219985208,1716.7258512400003,620.3943288460432,1052.27478276303,1.7777737359938328,21.176525042999856,0.6002
4,3,128,2.3062596669988125,0.0043175870014238,1713.809099717997,615.294348289055,1054.7703756540395,1.782118413026183,21.88321513399933,0.6002
4,4,128,2.2393978699983563,0.0067310220001672,1687.9342692009996,613.0066083849924,1031.9390951059395,1.7551643790575326,22.25878118900073,0.6002
1,1,256,2.2633864490017004,0.0054931790000409,2602.0255009139983,1000.4329064840422,1559.9491253772103,0.8853465120446344,35.22785095599829,0.5647
1,2,256,2.177188900001056,0.0067242680015624,2607.945292076998,1007.0011199570436,1559.1764713228986,0.8831334930437151,31.118820553994738,0.5647
1,3,256,2.131647421003436,0.0062638640010845,2705.215480275998,1037.0701121019956,1626.4492620279998,0.8830977029720088,39.3438757469994,0.5647
1,4,256,2.1641624920011964,0.0052546049992088,2630.9202085729994,1012.8081810189252,1576.8387468909425,0.8772401128080674,38.3984714909966,0.5647
2,1,256,6.373858053999982,0.0660337040000058,2439.447973837,890.4377459550033,1503.0019260939982,1.1842270920045337,32.4634672039997,0.5647
2,2,256,2.7326292369998555,0.0062568139996983,2458.0870639330005,893.5368262409957,1518.3485055590013,1.1624869960046451,30.140027782999823,0.5647
2,3,256,2.102875841000241,0.004401295000207,2388.32222259,874.4077381830057,1467.6519188839966,1.2440331429925209,35.18781837999995,0.5647
2,4,256,2.3773942600000737,0.0074227429995517,2455.200582166999,891.7268102860098,1515.8825472630087,1.205944944012117,29.12997379600165,0.5647
3,1,256,2.3035413599991443,0.0061342599983618,2377.554481424999,853.958684848023,1480.2254725729929,0.925822458040784,29.55796080300024,0.6077
3,2,256,2.1317863679996663,0.0055778070000087,2439.418197329,879.152765965975,1516.7235980879975,0.926386837989412,29.4244864150005,0.6077
3,3,256,2.198665418998644,0.0045581510003103,2352.0992209959986,851.1318062279661,1459.0438373259203,0.9043527450339752,36.55209432999982,0.6077
3,4,256,2.245081689001381,0.007277761997102,2318.754957814999,836.4511353260132,1440.2471867970453,0.8987744810256117,33.68364051000026,0.6077
