intra_threads,inter_threads,batch_size,data_load_time_sec,model_init_time_sec,train_time_total_sec,forward_time_sec,backward_time_sec,optimizer_time_sec,eval_time_sec,total_time,test_accuracy
4,3,256,2.517528593,0.005854962,2440.011017,924.2652374,1472.577005,0.470594994,35.02169942,4874.868937,0.5585
4,4,256,2.889053765,0.007047047,2438.131969,926.6178661,1468.689265,0.461132225,34.7383101,4871.534643,0.5585
1,1,512,7.574940218,0.085344191,1820.036891,695.681232,1079.657047,3.133934274,27.19880617,3633.368195,0.6194
1,2,512,2.731757471,0.004276329,1858.787903,709.9397335,1101.833158,3.322221169,23.15538587,3699.774436,0.6194
1,3,512,2.065464915,0.005094068,1833.519315,696.9371538,1088.984362,3.412138654,23.16218585,3648.085714,0.6194
1,4,512,2.018916444,0.004441056,1835.995826,698.3849884,1090.071492,3.382358329,23.29628182,3653.154303,0.6194
2,1,512,7.136538211,0.073874741,1771.328451,644.5126904,1070.157245,3.753852419,21.53857675,3518.501228,0.6194
2,2,512,2.319542347,0.004003243,1785.750135,649.3479044,1077.171484,3.979381626,23.60471889,3542.177169,0.6194
2,3,512,2.073456741,0.004404824,1747.984657,628.4589444,1061.506113,3.989359323,24.49711953,3468.514055,0.6194
2,4,512,1.985619975,0.004546638,1744.632107,625.7951045,1060.853155,4.006825523,24.13786039,3461.41522,0.6194
3,1,512,1.988615824,0.005778762,1838.413403,655.3933585,1134.142773,3.546134215,21.95826579,3655.448329,0.6026
3,2,512,2.020153983,0.005763753,1816.18355,644.7227629,1123.189273,3.507822084,21.73273348,3611.36206,0.6026
3,3,512,2.100464094,0.005364404,1797.826688,640.4050349,1110.22261,3.474409972,22.66862859,3576.7032,0.6026
3,4,512,2.160381395,0.006584319,1841.419667,648.1637479,1142.288692,3.712307221,23.07737476,3660.828754,0.6026
4,1,512,2.10080882,0.00486325,1794.43943,642.0548791,1101.881439,3.592939397,24.38749812,3568.461858,0.6194
4,2,512,2.166476079,0.008203834,1810.02374,653.8588751,1104.8314,3.621919154,22.22057453,3596.731188,0.6194
4,3,512,2.103738383,0.004952348,1803.702468,652.0479682,1101.442176,3.573375934,23.43401891,3586.308698,0.6194
4,4,512,2.179648864,0.005050925,1735.425534,623.3350983,1064.567307,3.490160065,23.67347265,3452.676272,0.6194
