loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
2.472088098526001,0.33522525429725647,3.3069188594818115,0.24338942766189575
1.8087657690048218,0.5105056762695312,2.487428903579712,0.36298078298568726
1.5095453262329102,0.6118456125259399,1.4639545679092407,0.6260015964508057
1.2781257629394531,0.6866542100906372,1.737327218055725,0.5709134340286255
1.0980777740478516,0.7471510171890259,1.2806447744369507,0.690504789352417
0.9562914967536926,0.7947827577590942,1.1804395914077759,0.7271634340286255
0.8450643420219421,0.8309739828109741,1.5189032554626465,0.6396234035491943
0.7482398152351379,0.8619568943977356,1.1351964473724365,0.7640224099159241
0.6870765089988708,0.8849937915802002,1.2842463254928589,0.7421875
0.6270980834960938,0.9074519276618958,1.1938623189926147,0.7642227411270142
