loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
3.3895723819732666,0.2205580323934555,3.102151870727539,0.26254111528396606
2.493379592895508,0.3712500035762787,2.5921361446380615,0.33388158679008484
2.1673834323883057,0.46044641733169556,3.7585959434509277,0.22964638471603394
1.9376095533370972,0.5218080282211304,3.851048469543457,0.20250822603702545
1.7171258926391602,0.5833259224891663,2.016601085662842,0.4948602020740509
1.5132697820663452,0.6423214077949524,2.481459379196167,0.41077303886413574
1.3401850461959839,0.6884375214576721,1.8471585512161255,0.5386512875556946
1.20481276512146,0.7260714173316956,1.3383806943893433,0.6786595582962036
1.0767898559570312,0.7630357146263123,1.6069856882095337,0.6007401347160339
0.960298478603363,0.7981473207473755,1.2156304121017456,0.7222450375556946
