batch_id,batch_size,latency_ms
1,100,1.6791250018286519
2,100,1.4462079998338595
3,100,1.2929170043207705
4,100,1.2247089980519377
5,100,1.3545420006266795
6,100,2.053625001281034
7,100,2.251792000606656
8,100,2.017041995713953
9,100,1.7167499972856604
10,100,1.5158750029513612
11,100,1.9980840006610379
12,100,1.5674160022172146
13,100,1.3207500014686957
14,100,1.2663340021390468
15,100,1.2356669976725243
16,100,1.4350420024129562
17,100,1.3203339985921048
18,100,1.6044169969973154
19,100,1.3115830006427132
20,100,1.540499994007405
21,100,1.6230420005740598
22,100,1.40908300090814
23,100,1.5396249946206808
24,100,2.1881670036236756
25,100,1.534082999569364
26,100,1.5015419994597323
27,100,1.4859170041745529
28,100,1.4079999964451417
29,100,1.6235840012086555
30,100,1.4360409986693412
31,100,1.3809590018354356
32,100,1.3553750031860545
33,100,1.3451670020003803
34,100,1.8077080021612346
35,100,2.2979999994277023
36,100,2.173707995098084
37,100,1.6483329964103177
38,100,1.6227919986704364
39,100,1.7470000020693988
40,100,1.447708003979642
41,100,2.4441670029773377
42,100,1.3105420002830215
43,100,1.4571669962606393
44,100,1.4997919934103265
45,100,2.1887920011067763
46,100,1.6350420046364889
47,100,1.465749999624677
48,100,1.37945800088346
49,100,2.001374996325467
50,100,1.446083995688241
51,100,1.5804580034455284
52,100,2.099417004501447
53,100,1.9255000006523915
54,100,1.9299580017104745
55,100,1.6586659985478036
56,100,1.3838750019203871
57,100,1.312208994932007
58,100,1.6917920002015308
59,100,1.451667005312629
60,100,1.3582909959950484
61,100,1.326834004430566
62,100,1.467000001866836
63,100,1.454582998121623
64,100,1.607209000212606
65,100,1.7745000004651956
66,100,2.123499994922895
67,100,1.464541994209867
68,100,1.412790996255353
69,100,1.6976250044535846
70,100,1.4231250024749897
71,100,1.3802079993183725
72,100,1.3392920009209774
73,100,1.322999996773433
74,100,1.4281670009950176
75,100,1.5283339962479658
76,100,2.159374998882413
77,100,1.5098340008989908
78,100,1.443415996618569
79,100,1.4140409984975122
80,100,1.8387090021860786
81,100,1.4840410003671423
82,100,1.4058339947951026
83,100,1.3506670002243482
84,100,1.3510839999071322
85,100,1.6221250043599866
86,100,1.9887919988832437
87,100,1.5305830020224676
88,100,1.359625006443821
89,100,1.363708004646469
90,100,1.3641249970532954
91,100,1.4270409956225194
92,100,1.3822910041199066
93,100,1.5383330028271303
94,100,1.3567919959314167
95,100,1.40020799881313
96,100,1.6895000007934868
97,100,2.0175000026938505
98,100,1.9124169994029216
99,100,1.6115830003400333
100,100,1.7350830021314323
