epoch,train_accuracy,val_accuracy,epoch_time_s
1,,0.979800,3.127152
2,,0.979800,3.074742
3,,0.979800,2.401018
4,,0.979800,2.937307
5,,0.979800,2.039763
6,,0.979800,3.370942
7,,0.979800,2.239340
8,,0.979800,2.772067
9,,0.979800,2.546055
10,,0.979800,3.067184
11,,0.979800,2.582608
12,,0.979800,2.488896
13,,0.979800,2.247698
14,,0.979800,2.215738
15,,0.979800,2.022960
16,,0.979800,2.875079
17,,0.979800,2.188361
18,,0.979800,2.841391
19,,0.979800,2.336866
20,,0.979800,2.809891
21,,0.979800,2.681708
22,,0.979800,2.747751
23,,0.979800,1.937729
24,,0.979800,2.271894
25,,0.979800,2.192472
26,,0.979800,2.468175
27,,0.979800,2.682355
28,,0.979800,2.040726
29,,0.979800,1.907488
30,,0.979800,2.071154
31,,0.979800,1.977936
32,,0.979800,1.788409
33,,0.979800,2.028707
34,,0.979800,1.804297
35,,0.979800,1.917885
36,,0.979800,2.316479
37,,0.979800,1.755140
38,,0.979800,1.729275
39,,0.979800,1.722370
40,,0.979800,1.612135
41,,0.979800,1.519308
42,,0.979800,1.525727
43,,0.979800,1.775068
44,,0.979800,1.549384
45,,0.979800,1.647927
46,,0.979800,1.567901
47,,0.979800,1.683409
48,,0.979800,1.586567
49,,0.979800,1.555997
50,,0.979800,1.679444
51,,0.979800,1.958863
52,,0.979800,1.599085
53,,0.979800,1.680366
54,,0.979800,1.567890
55,,0.979800,1.545096
56,,0.979800,1.706955
57,,0.979800,1.792133
58,,0.979800,1.590522
59,,0.979800,1.636644
60,,0.979800,1.815766
61,,0.979800,1.571905
62,,0.979800,1.772360
63,,0.979800,2.011527
64,,0.979800,1.633442
65,,0.979800,1.511824
66,,0.979800,1.589429
67,,0.979800,1.824830
68,,0.979800,1.693736
69,,0.979800,1.688435
70,,0.979800,1.691709
71,,0.979800,1.627386
72,,0.979800,1.565212
73,,0.979800,1.608515
74,,0.979800,1.849585
75,,0.979800,2.359739
76,,0.979800,1.587605
77,,0.979800,2.078389
78,,0.979800,1.587282
79,,0.979800,1.558569
80,,0.979800,1.520469
81,,0.979800,2.206304
82,,0.979800,1.537539
83,,0.979800,1.549626
84,,0.979800,2.033943
85,,0.979800,1.678058
86,,0.979800,2.132672
87,,0.979800,2.019131
88,,0.979800,1.587289
89,,0.979800,1.573458
90,,0.979800,1.599556
91,,0.979800,1.777087
92,,0.979800,1.802260
93,,0.979800,1.629393
94,,0.979800,1.946351
95,,0.979800,1.552073
96,,0.979800,1.517086
97,,0.979800,1.549320
98,,0.979800,1.729039
99,,0.979800,1.648809
100,,0.979800,1.665128
