epoch,train_accuracy,val_accuracy,epoch_time_s
1,,0.979800,2.664108
2,,0.979800,1.607129
3,,0.979800,1.829456
4,,0.979800,1.788196
5,,0.979800,1.557088
6,,0.979800,1.655441
7,,0.979800,1.499004
8,,0.979800,1.746105
9,,0.979800,1.572924
10,,0.979800,1.531923
11,,0.979800,1.616430
12,,0.979800,1.803327
13,,0.979800,1.711403
14,,0.979800,1.645518
15,,0.979800,1.833508
16,,0.979800,1.553014
17,,0.979800,1.686831
18,,0.979800,1.715572
19,,0.979800,1.745968
20,,0.979800,1.563464
21,,0.979800,1.585012
22,,0.979800,2.027836
23,,0.979800,1.584779
24,,0.979800,1.650749
25,,0.979800,1.508638
26,,0.979800,1.763310
27,,0.979800,1.674698
28,,0.979800,1.512091
29,,0.979800,1.639977
30,,0.979800,1.721342
31,,0.979800,1.502836
32,,0.979800,1.516047
33,,0.979800,1.747236
34,,0.979800,1.547439
35,,0.979800,1.513316
36,,0.979800,1.558337
37,,0.979800,2.591169
38,,0.979800,1.781575
39,,0.979800,1.934450
40,,0.979800,1.536649
41,,0.979800,1.548795
42,,0.979800,1.766848
43,,0.979800,1.632790
44,,0.979800,1.491333
45,,0.979800,1.644112
46,,0.979800,1.821024
47,,0.979800,1.873029
48,,0.979800,1.702102
49,,0.979800,2.328033
50,,0.979800,1.940611
51,,0.979800,1.929113
52,,0.979800,2.683282
53,,0.979800,2.016583
54,,0.979800,1.864209
55,,0.979800,2.105565
56,,0.979800,1.710393
57,,0.979800,1.906454
58,,0.979800,2.239146
59,,0.979800,1.715968
60,,0.979800,1.799620
61,,0.979800,2.942584
62,,0.979800,2.012009
63,,0.979800,1.712642
64,,0.979800,2.695673
65,,0.979800,2.077532
66,,0.979800,1.965724
67,,0.979800,2.542063
68,,0.979800,2.211685
69,,0.979800,2.373468
70,,0.979800,1.974446
71,,0.979800,3.092170
72,,0.979800,1.776694
73,,0.979800,2.447434
74,,0.979800,2.292422
75,,0.979800,1.873097
76,,0.979800,2.144935
77,,0.979800,1.713460
78,,0.979800,1.855518
79,,0.979800,1.825673
80,,0.979800,2.086933
81,,0.979800,1.941205
82,,0.979800,1.855802
83,,0.979800,2.058303
84,,0.979800,1.962800
85,,0.979800,2.087205
86,,0.979800,1.930695
87,,0.979800,1.601206
88,,0.979800,1.541814
89,,0.979800,1.894154
90,,0.979800,1.704187
91,,0.979800,1.667536
92,,0.979800,2.129519
93,,0.979800,1.893382
94,,0.979800,1.766477
95,,0.979800,1.864889
96,,0.979800,2.163469
97,,0.979800,2.800826
98,,0.979800,2.138554
99,,0.979800,1.696093
100,,0.979800,3.279351
