epoch,epoch_time_s
1,2.664108
2,1.607129
3,1.829456
4,1.788196
5,1.557088
6,1.655441
7,1.499004
8,1.746105
9,1.572924
10,1.531923
11,1.61643
12,1.803327
13,1.711403
14,1.645518
15,1.833508
16,1.553014
17,1.686831
18,1.715572
19,1.745968
20,1.563464
21,1.585012
22,2.027836
23,1.584779
24,1.650749
25,1.508638
26,1.76331
27,1.674698
28,1.512091
29,1.639977
30,1.721342
31,1.502836
32,1.516047
33,1.747236
34,1.547439
35,1.513316
36,1.558337
37,2.591169
38,1.781575
39,1.93445
40,1.536649
41,1.548795
42,1.766848
43,1.63279
44,1.491333
45,1.644112
46,1.821024
47,1.873029
48,1.702102
49,2.328033
50,1.940611
51,1.929113
52,2.683282
53,2.016583
54,1.864209
55,2.105565
56,1.710393
57,1.906454
58,2.239146
59,1.715968
60,1.79962
61,2.942584
62,2.012009
63,1.712642
64,2.695673
65,2.077532
66,1.965724
67,2.542063
68,2.211685
69,2.373468
70,1.974446
71,3.09217
72,1.776694
73,2.447434
74,2.292422
75,1.873097
76,2.144935
77,1.71346
78,1.855518
79,1.825673
80,2.086933
81,1.941205
82,1.855802
83,2.058303
84,1.9628
85,2.087205
86,1.930695
87,1.601206
88,1.541814
89,1.894154
90,1.704187
91,1.667536
92,2.129519
93,1.893382
94,1.766477
95,1.864889
96,2.163469
97,2.800826
98,2.138554
99,1.696093
100,3.279351
