epoch,train_accuracy,val_accuracy,epoch_time_s
1,,0.979800,2.417854
2,,0.979800,1.853927
3,,0.979800,1.712669
4,,0.979800,3.760510
5,,0.979800,1.845172
6,,0.979800,1.717824
7,,0.979800,2.282404
8,,0.979800,1.640537
9,,0.979800,2.747959
10,,0.979800,2.061166
11,,0.979800,1.674649
12,,0.979800,1.579965
13,,0.979800,1.904368
14,,0.979800,1.642185
15,,0.979800,1.736570
16,,0.979800,1.899664
17,,0.979800,2.703628
18,,0.979800,1.686791
19,,0.979800,1.910237
20,,0.979800,1.557502
21,,0.979800,3.114347
22,,0.979800,3.219785
23,,0.979800,3.446634
24,,0.979800,3.186313
25,,0.979800,1.719554
26,,0.979800,2.696244
27,,0.979800,1.842244
28,,0.979800,1.593917
29,,0.979800,2.588297
30,,0.979800,1.727487
31,,0.979800,1.595040
32,,0.979800,2.134223
33,,0.979800,1.727394
34,,0.979800,1.714024
35,,0.979800,2.161819
36,,0.979800,1.817666
37,,0.979800,1.739188
38,,0.979800,1.810830
39,,0.979800,1.851343
40,,0.979800,1.588092
41,,0.979800,2.013543
42,,0.979800,2.045036
43,,0.979800,1.735884
44,,0.979800,1.662556
45,,0.979800,2.225480
46,,0.979800,1.617573
47,,0.979800,1.715936
48,,0.979800,2.492512
49,,0.979800,1.817808
50,,0.979800,1.642296
51,,0.979800,3.142447
52,,0.979800,1.994040
53,,0.979800,1.654091
54,,0.979800,2.899661
55,,0.979800,1.682031
56,,0.979800,1.826298
57,,0.979800,1.881724
58,,0.979800,1.654494
59,,0.979800,1.766243
60,,0.979800,2.148354
61,,0.979800,1.837880
62,,0.979800,1.787193
63,,0.979800,2.149792
64,,0.979800,1.740236
65,,0.979800,1.953865
66,,0.979800,2.012708
67,,0.979800,1.881754
68,,0.979800,1.667737
69,,0.979800,1.750583
70,,0.979800,1.674533
71,,0.979800,1.608268
72,,0.979800,1.611812
73,,0.979800,2.012635
74,,0.979800,1.711214
75,,0.979800,1.666610
76,,0.979800,1.801525
77,,0.979800,1.825096
78,,0.979800,1.651121
79,,0.979800,1.525270
80,,0.979800,1.918164
81,,0.979800,1.756354
82,,0.979800,1.722212
83,,0.979800,1.794896
84,,0.979800,2.078810
85,,0.979800,1.563173
86,,0.979800,1.650674
87,,0.979800,2.412221
88,,0.979800,1.718450
89,,0.979800,1.621925
90,,0.979800,2.435743
91,,0.979800,1.526687
92,,0.979800,1.664789
93,,0.979800,2.011809
94,,0.979800,1.567405
95,,0.979800,1.705631
96,,0.979800,2.159875
97,,0.979800,2.212256
98,,0.979800,1.669923
99,,0.979800,1.802528
100,,0.979800,1.656456
