epoch,train_accuracy,val_accuracy,epoch_time_s
1,,0.979800,2.008284
2,,0.979800,1.932317
3,,0.979800,1.628638
4,,0.979800,1.797858
5,,0.979800,2.025902
6,,0.979800,1.906231
7,,0.979800,1.638365
8,,0.979800,1.676066
9,,0.979800,1.717198
10,,0.979800,1.566333
11,,0.979800,1.584816
12,,0.979800,1.914500
13,,0.979800,1.660642
14,,0.979800,1.576555
15,,0.979800,1.570316
16,,0.979800,2.322827
17,,0.979800,1.745777
18,,0.979800,1.699933
19,,0.979800,1.799756
20,,0.979800,1.689560
21,,0.979800,1.571600
22,,0.979800,1.644738
23,,0.979800,1.771072
24,,0.979800,1.683933
25,,0.979800,1.564830
26,,0.979800,1.813599
27,,0.979800,1.618889
28,,0.979800,1.584506
29,,0.979800,1.593011
30,,0.979800,2.097638
31,,0.979800,1.570840
32,,0.979800,1.763519
33,,0.979800,1.921518
34,,0.979800,1.649585
35,,0.979800,1.632412
36,,0.979800,1.823264
37,,0.979800,1.743100
38,,0.979800,1.605324
39,,0.979800,1.567952
40,,0.979800,1.808576
41,,0.979800,1.833803
42,,0.979800,1.859086
43,,0.979800,1.753755
44,,0.979800,1.668256
45,,0.979800,1.555096
46,,0.979800,1.576696
47,,0.979800,1.806625
48,,0.979800,1.694417
49,,0.979800,1.573930
50,,0.979800,1.602766
51,,0.979800,1.771252
52,,0.979800,1.611476
53,,0.979800,1.628153
54,,0.979800,2.088588
55,,0.979800,1.628674
56,,0.979800,1.587637
57,,0.979800,1.716010
58,,0.979800,1.834417
59,,0.979800,1.673176
60,,0.979800,1.638288
61,,0.979800,1.899491
62,,0.979800,1.669352
63,,0.979800,1.612769
64,,0.979800,1.634508
65,,0.979800,1.826757
66,,0.979800,1.887781
67,,0.979800,1.816828
68,,0.979800,2.147970
69,,0.979800,2.609208
70,,0.979800,1.799019
71,,0.979800,1.986814
72,,0.979800,1.612838
73,,0.979800,1.587780
74,,0.979800,1.825574
75,,0.979800,1.616453
76,,0.979800,1.651983
77,,0.979800,1.838267
78,,0.979800,2.050588
79,,0.979800,1.612163
80,,0.979800,1.605312
81,,0.979800,1.842593
82,,0.979800,1.645911
83,,0.979800,1.875769
84,,0.979800,1.839322
85,,0.979800,1.886337
86,,0.979800,1.628850
87,,0.979800,1.578505
88,,0.979800,1.938320
89,,0.979800,1.909805
90,,0.979800,1.866641
91,,0.979800,1.846244
92,,0.979800,1.594993
93,,0.979800,2.213459
94,,0.979800,1.984144
95,,0.979800,1.571551
96,,0.979800,1.609420
97,,0.979800,1.549779
98,,0.979800,1.804261
99,,0.979800,1.644106
100,,0.979800,1.751451
