epoch,train_accuracy,val_accuracy,epoch_time_s
1,,0.979800,2.233039
2,,0.979800,1.776203
3,,0.979800,1.587126
4,,0.979800,1.516594
5,,0.979800,1.934486
6,,0.979800,1.599260
7,,0.979800,1.536115
8,,0.979800,1.638055
9,,0.979800,1.682123
10,,0.979800,1.534627
11,,0.979800,1.985688
12,,0.979800,2.357716
13,,0.979800,1.575649
14,,0.979800,1.521660
15,,0.979800,1.817932
16,,0.979800,1.544046
17,,0.979800,1.585962
18,,0.979800,1.549226
19,,0.979800,1.779776
20,,0.979800,1.572114
21,,0.979800,1.717733
22,,0.979800,1.730525
23,,0.979800,1.858764
24,,0.979800,1.543647
25,,0.979800,2.021528
26,,0.979800,1.685013
27,,0.979800,1.547560
28,,0.979800,1.715521
29,,0.979800,1.601235
30,,0.979800,1.597083
31,,0.979800,1.523622
32,,0.979800,1.773358
33,,0.979800,1.552354
34,,0.979800,1.567762
35,,0.979800,1.506006
36,,0.979800,2.148413
37,,0.979800,1.669413
38,,0.979800,1.578440
39,,0.979800,1.772641
40,,0.979800,1.555047
41,,0.979800,1.527092
42,,0.979800,1.624246
43,,0.979800,1.782338
44,,0.979800,1.570957
45,,0.979800,1.548529
46,,0.979800,1.600615
47,,0.979800,1.680324
48,,0.979800,1.635732
49,,0.979800,1.618199
50,,0.979800,2.263955
51,,0.979800,1.577147
52,,0.979800,1.521790
53,,0.979800,1.590518
54,,0.979800,1.759875
55,,0.979800,1.641269
56,,0.979800,1.574592
57,,0.979800,1.909314
58,,0.979800,1.674283
59,,0.979800,1.849762
60,,0.979800,1.598960
61,,0.979800,1.617854
62,,0.979800,2.042486
63,,0.979800,1.732641
64,,0.979800,1.536088
65,,0.979800,1.731470
66,,0.979800,1.648544
67,,0.979800,1.640902
68,,0.979800,1.667352
69,,0.979800,2.094701
70,,0.979800,1.547882
71,,0.979800,1.703735
72,,0.979800,1.901441
73,,0.979800,1.668212
74,,0.979800,1.611124
75,,0.979800,1.720558
76,,0.979800,1.859511
77,,0.979800,1.667382
78,,0.979800,1.923249
79,,0.979800,1.733731
80,,0.979800,1.587700
81,,0.979800,1.901969
82,,0.979800,1.624773
83,,0.979800,1.523319
84,,0.979800,1.812124
85,,0.979800,1.817933
86,,0.979800,1.786642
87,,0.979800,1.662250
88,,0.979800,1.687293
89,,0.979800,1.627002
90,,0.979800,1.528405
91,,0.979800,1.696073
92,,0.979800,1.815924
93,,0.979800,1.535398
94,,0.979800,1.739958
95,,0.979800,1.669956
96,,0.979800,1.515658
97,,0.979800,1.648690
98,,0.979800,1.813642
99,,0.979800,1.556167
100,,0.979800,1.741733
