epoch,train_accuracy,val_accuracy,epoch_time_s
1,0.930277765,0.983833313,55.33453462
2,0.975444436,0.986500025,54.41097054
3,0.981111109,0.988499999,53.24020467
4,0.984203696,0.990333319,52.08246471
5,0.985203683,0.99150002,51.39182208
6,0.986462951,0.99333334,53.71566563
7,0.988499999,0.991333306,55.87843037
8,0.988740742,0.992500007,53.72395817
9,0.989814818,0.992500007,53.07293217
10,0.99038887,0.992833316,51.19224092
11,0.990814805,0.994499981,51.21117329
12,0.991296291,0.994666696,50.27302625
13,0.991907418,0.992999971,50.90662904
14,0.992629647,0.995000005,54.77970475
15,0.992092609,0.993833363,52.82967496
16,0.99333334,0.99483335,52.7679565
17,0.992500007,0.993666649,53.68872262
18,0.993222237,0.993666649,52.40857788
19,0.993407428,0.994166672,51.60142821
20,0.994277775,0.995000005,47.69721979
21,0.994037032,0.993833363,48.81814
22,0.9937222,0.995000005,49.23672613
23,0.99457407,0.995000005,49.09258221
24,0.994944453,0.994000018,48.15857742
25,0.993944466,0.996166646,49.55316904
26,0.99483335,0.995166659,49.0071505
27,0.994907379,0.995166659,48.89332646
28,0.994870365,0.995999992,49.32970179
29,0.994944453,0.995000005,49.03533912
30,0.995240748,0.995333314,49.17335667
31,0.995203733,0.995666683,53.29987137
32,0.995296299,0.995166659,49.69891942
33,0.995407403,0.995166659,50.91728067
34,0.995833337,0.995500028,51.00639012
35,0.995370388,0.995333314,51.03410692
36,0.995888889,0.995500028,52.98058679
37,0.995129645,0.995333314,54.38122183
38,0.995537043,0.99483335,54.13779696
39,0.9958148,0.995166659,51.80819071
40,0.996166646,0.995166659,50.42591092
41,0.99640739,0.995999992,49.548728
42,0.996185184,0.995666683,51.59291325
43,0.996388912,0.996166646,51.74836613
44,0.996222198,0.995833337,60.836912
45,0.996518493,0.995500028,53.53456275
46,0.996629655,0.995666683,52.13516854
47,0.996370375,0.99483335,51.27206037
48,0.996259272,0.995833337,53.09228229
49,0.996629655,0.995166659,53.77727454
50,0.99679631,0.995333314,49.59472375
51,0.996777773,0.995833337,48.99973546
52,0.997037053,0.995333314,51.30886933
53,0.996555567,0.995333314,48.94009592
54,0.996592581,0.995999992,49.06541625
55,0.997037053,0.99483335,49.84218533
56,0.997074068,0.995333314,50.45232671
57,0.99679631,0.994666696,49.04816538
58,0.996962965,0.996500015,50.14862025
59,0.996814787,0.995000005,49.80412821
60,0.997074068,0.995666683,47.52863137
61,0.996481478,0.995833337,47.39989862
62,0.997111082,0.995666683,47.65821071
63,0.996592581,0.995333314,47.51110475
64,0.997703731,0.995333314,47.74292371
65,0.997481465,0.99483335,47.56925267
66,0.996833324,0.99483335,47.05374196
67,0.997425914,0.99483335,47.64402767
68,0.997259259,0.994666696,50.7496515
69,0.997370362,0.995333314,49.93074512
70,0.997388899,0.995166659,49.49669146
71,0.997296274,0.994666696,49.31569546
72,0.997277796,0.995166659,52.22041033
73,0.997129619,0.994666696,50.74417138
74,0.997018516,0.995666683,52.76750842
75,0.997796297,0.995333314,51.83867683
76,0.997518539,0.995500028,52.93498171
77,0.997685194,0.994499981,53.09475254
78,0.997444451,0.99483335,51.26017812
79,0.997537017,0.995166659,50.97720017
80,0.997962952,0.99483335,49.60546983
81,0.997537017,0.995500028,47.40896425
82,0.997444451,0.995166659,47.44871617
83,0.997629642,0.995333314,47.46279196
84,0.998000026,0.995666683,47.332716
85,0.998277783,0.995333314,47.88022
86,0.997870386,0.995666683,47.60719363
87,0.997462988,0.99483335,48.70373613
88,0.997851849,0.995000005,51.55753846
89,0.997870386,0.995500028,49.69545088
90,0.997629642,0.995166659,49.34532192
91,0.997740746,0.995666683,49.40636696
92,0.997685194,0.995333314,49.31306329
93,0.997851849,0.995166659,49.4790515
94,0.997833312,0.995333314,56.71814887
95,0.99777776,0.995833337,52.05316375
96,0.997592568,0.995833337,54.701468
97,0.998314798,0.995833337,56.26504987
98,0.998129606,0.995333314,60.09495746
99,0.998277783,0.995666683,53.78124575
100,0.997981489,0.995833337,57.59839675
test,,0.995899975,
