step,time_s
data load,0.11288033399614505
preprocess,0.12102395799593069
train/val split,0.06090212499839254
model-build,0.3118870420148596
callbacks,6.366698653437197e-05
input pipeline,0.2259390419931151
epoch_1,16.558475458994508
epoch_2,13.17073512499337
epoch_3,12.86426520801615
epoch_4,12.85769525001524
epoch_5,12.94184366601985
epoch_6,13.09052325002267
epoch_7,13.477340999990702
epoch_8,12.801455084001645
epoch_9,13.150803833006648
epoch_10,13.071217374992557
epoch_11,13.236173791985493
epoch_12,13.078758125018794
epoch_13,12.672653583984356
epoch_14,13.512839250004617
epoch_15,12.992462166992482
epoch_16,12.697954625007696
epoch_17,12.527475667011458
epoch_18,12.600767833995633
epoch_19,12.706834209006047
epoch_20,12.699108125001658
epoch_21,12.874922415998299
epoch_22,12.519990875007352
epoch_23,14.715696250001201
epoch_24,15.445806709001772
epoch_25,15.295579249999719
epoch_26,13.998025832988787
epoch_27,14.666736499988474
epoch_28,15.057759542018175
epoch_29,12.909390125016216
epoch_30,12.49355229199864
epoch_31,12.432474541012198
epoch_32,12.567676208011108
epoch_33,12.524924000026658
epoch_34,12.524200415995438
epoch_35,12.55701337501523
epoch_36,12.531276208988857
epoch_37,21.20245366700692
epoch_38,17.230935833009426
epoch_39,38.74012545897858
epoch_40,28.027620000008028
epoch_41,27.087858957995195
epoch_42,17.464824332972057
epoch_43,22.441939166979864
epoch_44,14.752754334011115
epoch_45,12.594985834002728
epoch_46,12.990525417000754
epoch_47,12.73339125001803
epoch_48,12.490189291012939
epoch_49,12.526340625016019
epoch_50,12.561450582987163
epoch_51,12.476359959022375
epoch_52,12.207912416983163
epoch_53,11.946558374998858
epoch_54,12.08943662501406
epoch_55,12.304123415990034
epoch_56,12.255071374995168
epoch_57,12.273882999987109
epoch_58,12.198743250017287
epoch_59,12.78434116698918
epoch_60,12.50348345801467
epoch_61,12.232784583000466
epoch_62,12.615095250017475
epoch_63,12.68098083298537
epoch_64,12.476069875003304
epoch_65,12.936649541021325
epoch_66,12.879885707981884
epoch_67,12.748230416997103
epoch_68,15.30402124999091
epoch_69,14.486043374985456
epoch_70,14.703190541011281
epoch_71,14.457300416979706
epoch_72,14.67479612500756
epoch_73,14.563072334014578
epoch_74,14.547365208010888
epoch_75,14.538094374991488
epoch_76,14.503370541991899
epoch_77,13.634522749984171
epoch_78,13.43018412499805
epoch_79,13.58810212498065
epoch_80,13.558447208022699
epoch_81,13.688542207994033
epoch_82,13.466676915995777
epoch_83,13.621931832982227
epoch_84,13.360983333026525
epoch_85,18.314530208997894
epoch_86,13.838018874987029
epoch_87,17.016792625014205
epoch_88,17.019882207998307
epoch_89,12.281974084005924
epoch_90,12.207708958012518
epoch_91,12.184617040999001
epoch_92,11.96488883299753
epoch_93,12.078193833003752
epoch_94,12.196523207996506
epoch_95,12.171154417010257
epoch_96,12.41456754101091
epoch_97,12.244177709013456
epoch_98,12.266156875004526
epoch_99,12.637825833982788
epoch_100,12.636251417017775
epoch run,1405.8898043340014
evaluation,2.435715750005329
export_last,0.6904530420142692
export_best,0.390598208992742
python inference(128),0.13067791698267683
