step,time_s
data load,0.07713337501627393
preprocess,0.0691286250075791
train/val split,0.04126383300172165
model-build,0.2678779590060003
callbacks,5.816700286231935e-05
input pipeline,0.15327962502487935
epoch_1,16.433790959010366
epoch_2,12.777092582982732
epoch_3,12.029683165979804
epoch_4,12.472488583007362
epoch_5,13.289785999979358
epoch_6,13.049646708008368
epoch_7,12.786168166989228
epoch_8,12.492302750004455
epoch_9,12.501477208017604
epoch_10,12.742229333001887
epoch_11,12.595847208984196
epoch_12,12.511173791019246
epoch_13,12.259686624980532
epoch_14,12.291895415983163
epoch_15,12.489204957993934
epoch_16,12.4430203330121
epoch_17,12.463058207998984
epoch_18,12.108704208018025
epoch_19,11.973431999998866
epoch_20,12.743602832983015
epoch_21,12.331613207992632
epoch_22,11.992579332989408
epoch_23,11.913464291981654
epoch_24,12.266882374999113
epoch_25,12.52325804202701
epoch_26,12.026463291986147
epoch_27,12.193604290980147
epoch_28,12.070000875013648
epoch_29,11.81346591701731
epoch_30,12.710195749998093
epoch_31,13.75776333300746
epoch_32,12.678952834015945
epoch_33,12.167579291999573
epoch_34,12.412485417007701
epoch_35,11.953179083007853
epoch_36,12.263499417022103
epoch_37,12.065286291996017
epoch_38,11.825845624989597
epoch_39,12.047473749989877
epoch_40,12.628048917016713
epoch_41,12.150468167004874
epoch_42,12.16465687501477
epoch_43,11.91366933300742
epoch_44,12.20309975001146
epoch_45,11.935646500001894
epoch_46,12.007611375011038
epoch_47,11.866696125012822
epoch_48,12.095428457978414
epoch_49,12.563364125002408
epoch_50,12.208064624981489
epoch_51,12.049804500013124
epoch_52,11.663013082987163
epoch_53,12.048712375020841
epoch_54,12.038410959008615
epoch_55,12.520715167018352
epoch_56,13.931846166000469
epoch_57,13.643363915994996
epoch_58,14.05833287499263
epoch_59,14.294071459007682
epoch_60,13.73563770900364
epoch_61,13.574747333012056
epoch_62,13.74900629199692
epoch_63,13.723416875000112
epoch_64,13.587186749995453
epoch_65,13.659642874990823
epoch_66,13.560030874999939
epoch_67,13.890898916986771
epoch_68,13.593715958006214
epoch_69,13.7057973749761
epoch_70,13.457545374985784
epoch_71,13.531709083996248
epoch_72,13.844457917002728
epoch_73,13.709890666999854
epoch_74,13.59165837499313
epoch_75,13.50681649998296
epoch_76,13.723281749989837
epoch_77,13.721006083011162
epoch_78,13.448578540992457
epoch_79,12.273292124998989
epoch_80,12.391893457999686
epoch_81,12.377525750023779
epoch_82,12.33654179199948
epoch_83,12.447010374977253
epoch_84,12.202959750022274
epoch_85,11.916945333010517
epoch_86,12.265408334002132
epoch_87,12.335189208999509
epoch_88,12.511373999994248
epoch_89,12.320550791017013
epoch_90,12.338603165990207
epoch_91,12.60119879199192
epoch_92,12.450670707999961
epoch_93,12.53203020899673
epoch_94,12.234449250012403
epoch_95,12.295515375008108
epoch_96,12.478307333018165
epoch_97,12.234345792006934
epoch_98,12.071522250014823
epoch_99,11.591230249992805
epoch_100,11.626075292006135
epoch run,1266.6031049169833
evaluation,2.509613417001674
export_last,0.7481845000002068
export_best,0.3921088330098428
python inference(128),0.12886475000414066
